City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,mumford,5.2618,-0.759,80.55,86,99,11.9,GH,1678227070
188,nhulunbuy,-12.2333,136.7667,77.61,83,40,10.36,AU,1678227070
189,port hardy,50.6996,-127.4199,43.83,71,32,13.13,CA,1678227071
190,flinders,-34.5833,150.8552,74.05,62,0,4.0,AU,1678227071
191,ulladulla,-35.35,150.4667,68.88,41,1,8.68,AU,1678227072
192,sept-iles,50.2001,-66.3821,33.06,93,100,4.61,CA,1678226777
193,sinnamary,5.3833,-52.95,77.22,84,100,10.54,GF,1678227072
194,cervia,44.2657,12.3427,55.99,62,100,10.51,IT,1678226992
195,bandarbeyla,9.4942,50.8122,76.5,76,57,9.71,SO,1678227073
196,rakovski,42.3,24.9667,44.46,72,14,2.84,BG,1678227073
197,georgetown,5.4112,100.3354,80.53,65,20,6.91,MY,1678227039
198,lesogorsk,56.0458,99.5136,22.21,92,93,7.65,RU,1678227074
199,lata,40.1629,-8.3327,58.91,89,97,4.63,PT,1678226784
200,kiama,-34.6833,150.8667,74.25,55,0,9.4,AU,1678227075
201,saint-pierre,-21.3393,55.4781,78.48,73,75,2.3,RE,1678226843
202,presidencia roque saenz pena,-26.7852,-60.4388,72.54,89,97,6.04,AR,1678227075
203,kavieng,-2.5744,150.7967,78.28,83,100,5.75,PG,1678227075
204,kismayo,-0.3582,42.5454,77.59,91,70,14.34,SO,1678227076
205,srednekolymsk,67.45,153.6833,-26.66,93,96,6.04,RU,1678227076
206,songjianghe,42.1859,127.479,31.66,84,79,1.61,CN,1678227076
207,gondar,12.6,37.4667,66.27,38,81,5.17,ET,1678227077
208,esperance,-33.8667,121.9,63.27,68,100,4.25,AU,1678227077
209,swan river,52.1058,-101.2676,9.68,82,100,8.12,CA,1678227078
210,whyalla,-33.0333,137.5833,63.54,64,54,14.07,AU,1678227078
211,dakar,14.6937,-17.4441,79.68,72,53,15.21,SN,1678226947
212,mao,39.8885,4.2658,55.96,88,20,8.05,ES,1678227079
213,qaqortoq,60.7167,-46.0333,23.7,80,16,8.41,GL,1678227079
214,guerrero negro,27.9769,-114.0611,61.86,59,31,22.26,MX,1678227079
215,iquira,2.6487,-75.6346,79.99,63,100,1.99,CO,1678227080
216,mareeba,-17.0,145.4333,75.43,95,92,1.01,AU,1678227080
217,niamey,13.5137,2.1098,89.11,9,100,8.16,NE,1678227081
218,khoy,38.5504,44.9535,46.31,33,92,1.39,IR,1678227081
219,savinka,50.0785,47.0994,36.28,70,100,16.08,RU,1678227082
220,vao,-22.6667,167.4833,77.0,59,58,12.17,NC,1678227082
221,qaanaaq,77.484,-69.3632,7.68,92,62,4.92,GL,1678227083
222,bontang,0.1333,117.5,75.83,89,98,4.7,ID,1678226888
223,nanning,22.8167,108.3167,65.17,78,51,7.49,CN,1678227084
224,lavrentiya,65.5833,-171.0,7.38,94,100,5.3,RU,1678227085
225,puri,19.8,85.85,75.72,74,98,5.75,IN,1678227085
226,alta floresta,-9.8756,-56.0861,74.71,96,97,3.44,BR,1678227085
227,niort,46.3333,-0.3333,45.18,93,96,4.0,FR,1678227086
228,west wendover,40.7391,-114.0733,33.01,69,100,6.91,US,1678226518
229,williams lake,52.1415,-122.1445,28.06,58,100,1.99,CA,1678227087
230,tigil,57.8,158.6667,-0.15,100,100,3.06,RU,1678227087
231,coruripe,-10.1256,-36.1756,80.67,76,99,11.81,BR,1678227088
232,dingle,10.9995,122.6711,72.23,95,1,6.93,PH,1678227088
233,kyshtovka,56.555,76.6271,21.69,94,100,11.9,RU,1678227088
234,norrtalje,59.758,18.705,31.01,95,100,14.81,SE,1678227089
235,pedro ii,-4.4247,-41.4586,81.27,38,73,6.93,BR,1678227027
236,ulaangom,49.9811,92.0667,9.59,90,100,3.02,MN,1678227090
237,atar,20.5169,-13.0499,80.65,12,0,9.06,MR,1678227090
238,gat,31.61,34.7642,58.41,77,98,5.06,IL,1678227091
239,eyl,7.9803,49.8164,75.72,79,26,12.8,SO,1678227091
240,thio,-21.6167,166.2167,84.16,70,10,8.7,NC,1678227092
241,rorvik,64.8621,11.2373,19.51,68,0,6.91,NO,1678227092
242,lagoa,39.05,-27.9833,58.64,80,3,37.65,PT,1678227093
243,katobu,-4.9408,122.5276,74.55,91,100,2.98,ID,1678227093
244,birin,26.8865,88.0718,53.17,47,0,4.59,NP,1678227093
245,zorgo,12.2489,-0.6158,89.28,10,95,7.0,BF,1678227094
246,bonavista,48.6499,-53.1147,34.03,95,100,18.95,CA,1678227094
247,evans,33.5337,-82.1307,82.04,33,0,5.01,US,1678227095
248,ayacucho,-13.1583,-74.2239,68.5,54,99,6.24,PE,1678227095
249,jiuquan,39.7432,98.5174,43.75,31,78,7.65,CN,1678227095
250,pisco,-13.7,-76.2167,80.65,65,0,14.97,PE,1678227096
251,lerwick,60.1545,-1.1494,26.6,62,65,13.58,GB,1678227096
252,port macquarie,-31.4333,152.9167,75.79,55,45,0.83,AU,1678227096
253,rolla,37.9514,-91.7713,51.94,54,0,10.36,US,1678227097
254,chokurdakh,70.6333,147.9167,-38.74,100,58,2.51,RU,1678227097
255,walvis bay,-22.9575,14.5053,61.09,75,0,12.15,NA,1678227097
256,gamba,-2.65,10.0,79.79,81,99,4.7,GA,1678227098
257,goure,13.9835,10.2704,83.73,10,77,8.63,NE,1678226824
258,shenjiamen,29.9576,122.298,54.43,91,100,15.9,CN,1678227098
